VP,Minimum diagonal line length (L_min),Minimum vertical line length (V_min),Minimum white vertical line length (W_min),Recurrence rate (RR),Determinism (DET),Average diagonal line length (L),Longest diagonal line length (L_max),Divergence (DIV),Entropy diagonal lines (L_entr),Laminarity (LAM),Longest vertical line length (V_max),Entropy vertical lines (V_entr),Average white vertical line length (W),Longest white vertical line length (W_max),Longest white vertical line length inverse (W_div),Entropy white vertical lines (W_entr),Ratio determinism / recurrence rate (DET/RR),Ratio laminarity / determinism (LAM/DET)
3_vp11,2.0,2.0,2.0,0.14012177535651338,0.5228136882129277,2.4386084583901773,8.0,0.125,0.8808206915855408,0.0,1.0,0.0,8.455917560112418,97.0,0.010309278350515464,2.7859139442443848,3.7311380539015233,0.0
2_vp31,2.0,2.0,2.0,0.1995673336938886,0.39598997493734334,2.393939393939394,5.0,0.2,0.8183735609054565,0.02830472749171936,2.0,0.0,6.245531019978969,104.0,0.009615384615384616,2.203629970550537,1.98424244894078,0.07147839410883561
3_vp21,2.0,2.0,2.0,0.27533366287691546,0.6322751322751323,2.558886509635974,9.0,0.1111111111111111,1.0075877904891968,0.0,1.0,0.0,3.810474922325788,66.0,0.015151515151515152,1.4730117321014404,2.2963960369705436,0.0
vp21,2.0,2.0,2.0,0.17899637120675446,0.4812675358970127,2.513793103448276,10.0,0.1,0.9662091135978699,0.0,1.0,0.0,7.241646693923586,223.0,0.004484304932735426,2.569490432739258,2.6886999588450426,0.0
vp11,2.0,2.0,2.0,0.14538608244901952,0.36890459363957595,2.32,5.0,0.2,0.7243763208389282,0.0,1.0,0.0,7.726340326340327,141.0,0.0070921985815602835,2.652188301086426,2.5374133990365584,0.0
vp22,2.0,2.0,2.0,0.13218584294251326,0.36840369393139843,2.412526997840173,7.0,0.14285714285714285,0.8440675735473633,0.0,1.0,0.0,9.246387112058754,100.0,0.01,2.7262494564056396,2.787013236293502,0.0
2_vp21,2.0,2.0,2.0,0.24382716049382716,0.455440414507772,2.696319018404908,7.0,0.14285714285714285,1.0521903038024902,0.0,1.0,0.0,6.355735056542811,99.0,0.010101010101010102,2.199324607849121,1.8678822063356726,0.0
vp12,2.0,2.0,2.0,0.2741950113378685,0.6300286147113281,2.9105754276827374,10.0,0.1,1.3002707958221436,0.0,1.0,0.0,5.264207591679177,139.0,0.007194244604316547,1.8845990896224976,2.297739158846309,0.0
2_vp11,2.0,2.0,2.0,0.16613423367499885,0.6043299738708473,2.9679193400549955,13.0,0.07692307692307693,1.3430697917938232,0.0,1.0,0.0,8.456827820186598,148.0,0.006756756756756757,2.673490524291992,3.637600514371238,0.0
vp31,2.0,2.0,2.0,0.27587046505965424,0.3266423357664234,2.9184782608695654,7.0,0.14285714285714285,0.992800772190094,0.0794351279788173,3.0,0.6931471824645996,8.360103626943005,76.0,0.013157894736842105,2.3345251083374023,1.1840424298258614,0.24318687224799931
2_vp22,2.0,2.0,2.0,0.20165680473372782,0.4179377669310555,2.464028776978417,6.0,0.16666666666666666,0.8863357901573181,0.0,1.0,0.0,5.8354186717998076,70.0,0.014285714285714285,2.2452688217163086,2.072520029675715,0.0
3_vp12,2.0,2.0,2.0,0.20645905420991925,0.46725317693059626,2.896969696969697,9.0,0.1111111111111111,1.2521731853485107,0.0,1.0,0.0,7.866817155756208,61.0,0.01639344262295082,2.309662103652954,2.2631760022280836,0.0
2_vp12,2.0,2.0,2.0,0.2634319526627219,0.37595419847328243,2.8550724637681157,9.0,0.1111111111111111,1.135471224784851,0.0,1.0,0.0,7.33015873015873,45.0,0.022222222222222223,2.0847361087799072,1.427139702200915,0.0
